order_id,product,category,quantity,unit_price,total_sales,region,date,salesperson
1001,Laptop Pro,Electronics,5,1200.0,6000.0,North,2024-01-05,Alice
1002,Office Chair,Furniture,12,350.0,4200.0,South,2024-01-07,Bob
1003,Wireless Mouse,Electronics,30,45.0,1350.0,East,2024-01-10,Carol
1004,Standing Desk,Furniture,8,600.0,4800.0,West,2024-01-12,Alice
1005,Monitor 27in,Electronics,15,400.0,6000.0,North,2024-01-15,Dave
1006,Keyboard Mech,Electronics,25,120.0,3000.0,South,2024-01-18,Bob
1007,Laptop Pro,Electronics,3,1200.0,3600.0,East,2024-01-20,Carol
1008,Ergonomic Chair,Furniture,6,480.0,2880.0,West,2024-01-22,Dave
1009,USB Hub,Electronics,50,35.0,1750.0,North,2024-01-25,Alice
1010,Bookshelf,Furniture,10,200.0,2000.0,South,2024-01-28,Bob
1011,Webcam HD,Electronics,20,90.0,1800.0,East,2024-02-01,Carol
1012,Laptop Pro,Electronics,7,1200.0,8400.0,West,2024-02-03,Dave
1013,Desk Lamp,Furniture,18,75.0,1350.0,North,2024-02-06,Alice
1014,Monitor 27in,Electronics,10,400.0,4000.0,South,2024-02-08,Bob
1015,Gaming Chair,Furniture,4,700.0,2800.0,East,2024-02-10,Carol
1016,Wireless Mouse,Electronics,40,45.0,1800.0,West,2024-02-12,Dave
1017,Laptop Stand,Electronics,22,85.0,1870.0,North,2024-02-15,Alice
1018,Filing Cabinet,Furniture,9,320.0,2880.0,South,2024-02-18,Bob
1019,Monitor 27in,Electronics,12,400.0,4800.0,East,2024-02-20,Carol
1020,USB Hub,Electronics,35,35.0,1225.0,West,2024-02-22,Dave
